planet;position;mass
neptune;POINTZ(15.788892502842065 -25.66616960416568 -25.66616960416568);0.0020336868699246304
sun;POINTZ(-1.3100916614526542e-05 -0.001425171615735238 -0.001425171615735238);39.47841760435743
jupiter;POINTZ(4.953082901697291 0.07198408157444292 0.07198408157444292);0.03769367487038949
saturn;POINTZ(7.8706626098950005 4.889440844980626 4.889440844980626);0.011286326131968767
uranus;POINTZ(13.353754148173776 -14.730458774036313 -14.730458774036313);0.0017237240570597112
neptune;POINTZ(15.798586637596 -25.660062331227934 -25.660062331227934);0.0020336868699246304
sun;POINTZ(-9.79372822431742e-06 -0.0014584064232417498 -0.0014584064232417498);39.47841760435743
jupiter;POINTZ(4.952166935558612 0.10087736005294831 0.10087736005294831);0.03769367487038949
saturn;POINTZ(7.858797827041589 4.906717646307611 4.906717646307611);0.011286326131968767
uranus;POINTZ(13.364291322368242 -14.721440900008151 -14.721440900008151);0.0017237240570597112
neptune;POINTZ(15.808278490292862 -25.653951349090796 -25.653951349090796);0.0020336868699246304
sun;POINTZ(-6.321523515602594e-06 -0.0014916316277496459 -0.0014916316277496459);39.47841760435743
jupiter;POINTZ(4.951090234799868 0.12976734633250678 0.12976734633250678);0.03769367487038949
saturn;POINTZ(7.84689408738317 4.923970053295475 4.923970053295475);0.011286326131968767
uranus;POINTZ(13.374821777667208 -14.71241562066858 -14.71241562066858);0.0017237240570597112
neptune;POINTZ(15.817968059503386 -25.64783665859477 -25.64783665859477);0.0020336868699246304
sun;POINTZ(-2.6843124393213946e-06 -0.001524846305043171 -0.001524846305043171);39.47841760435743
jupiter;POINTZ(4.949852796065497 0.1586531006928356 0.1586531006928356);0.03769367487038949
saturn;POINTZ(7.83495143793844 4.94119797249202 4.94119797249202);0.011286326131968767
uranus;POINTZ(13.385345509179297 -14.70338294101976 -14.70338294101976);0.0017237240570597112
neptune;POINTZ(15.827655343798572 -25.641718260580898 -25.641718260580898);0.0020336868699246304
sun;POINTZ(1.117889240009438e-06 -0.0015580495306544478 -0.0015580495306544478);39.47841760435743
jupiter;POINTZ(4.948454622017598 0.18753368312731689 0.18753368312731689);0.03769367487038949
saturn;POINTZ(7.822969925963236 4.958401310519958 4.958401310519958);0.011286326131968767
uranus;POINTZ(13.39586251201664 -14.694342866066567 -14.694342866066567);0.0017237240570597112
neptune;POINTZ(15.837340341749695 -25.63559615589077 -25.63559615589077);0.0020336868699246304
sun;POINTZ(5.0850599393403085e-06 -0.0015912403799059926 -0.0015912403799059926);39.47841760435743
jupiter;POINTZ(4.9468957213411455 0.2164081533873072 0.2164081533873072);0.03769367487038949
saturn;POINTZ(7.81094959895046 4.975579974077634 4.975579974077634);0.011286326131968767
uranus;POINTZ(13.406372781294879 -14.685295400816587 -14.685295400816587);0.0017237240570597112
neptune;POINTZ(15.847023051928298 -25.629470345366506 -25.629470345366506);0.0020336868699246304
sun;POINTZ(9.21717225250761e-06 -0.0016244179279533042 -0.0016244179279533042);39.47841760435743
jupiter;POINTZ(4.945176108748807 0.2452755710265278 0.2452755710265278);0.03769367487038949
saturn;POINTZ(7.798890504630005 4.992733869939757 4.992733869939757);0.011286326131968767
uranus;POINTZ(13.416876312133166 -14.676240550280117 -14.676240550280117);0.0017237240570597112
neptune;POINTZ(15.856703472906199 -25.623340829850775 -25.623340829850775);0.0020336868699246304
sun;POINTZ(1.3514192946028064e-05 -0.0016575812498275304 -0.0016575812498275304);39.47841760435743
jupiter;POINTZ(4.943295804985372 0.27413499544553105 0.27413499544553105);0.03769367487038949
saturn;POINTZ(7.786792690968688 5.009862904958118 5.009862904958118);0.011286326131968767
uranus;POINTZ(13.427373099654163 -14.66717831947015 -14.66717831947015);0.0017237240570597112
neptune;POINTZ(15.866381603255489 -25.61720761018678 -25.61720761018678);0.0020336868699246304
sun;POINTZ(1.797608295526974e-05 -0.0016907294204782 -0.0016907294204782);39.47841760435743
jupiter;POINTZ(4.941254836831782 0.30298548593623886 0.30298548593623886);0.03769367487038949
saturn;POINTZ(7.774656206170163 5.0269669860623285 5.0269669860623285);0.011286326131968767
uranus;POINTZ(13.437863138984047 -14.658108713402381 -14.658108713402381);0.0017237240570597112
neptune;POINTZ(15.876057441548529 -25.611070687218266 -25.611070687218266);0.0020336868699246304
sun;POINTZ(2.2602797381000832e-05 -0.0017238615148160229 -0.0017238615148160229);39.47841760435743
jupiter;POINTZ(4.939053237108776 0.33182610172654936 0.33182610172654936);0.03769367487038949
saturn;POINTZ(7.762481098674847 5.044046020260546 5.044046020260546);0.011286326131968767
uranus;POINTZ(13.44834642525251 -14.649031737095202 -14.649031737095202);0.0017237240570597112
neptune;POINTZ(15.885730986357954 -25.604930061789513 -25.604930061789513);0.0020336868699246304
sun;POINTZ(2.7394285486317287e-05 -0.0017569766077557502 -0.0017569766077557502);39.47841760435743
jupiter;POINTZ(4.936691044680123 0.3606559020250067 0.3606559020250067);0.03769367487038949
saturn;POINTZ(7.7502674171598365 5.06109991464021 5.06109991464021);0.011286326131968767
uranus;POINTZ(13.458822953592756 -14.63994739556969 -14.63994739556969);0.0017237240570597112
neptune;POINTZ(15.895402236256675 -25.598785734745345 -25.598785734745345);0.0020336868699246304
sun;POINTZ(3.2350490693950276e-05 -0.0017900737742590918 -0.0017900737742590918);39.47841760435743
jupiter;POINTZ(4.9341683044554765 0.3894739460655307 0.3894739460655307);0.03769367487038949
saturn;POINTZ(7.738015210538824 5.078128576368776 5.078128576368776);0.011286326131968767
uranus;POINTZ(13.46929271914151 -14.630855693849613 -14.630855693849613);0.0017237240570597112
neptune;POINTZ(15.905071189817875 -25.59263770693112 -25.59263770693112);0.0020336868699246304
sun;POINTZ(3.7471350583954446e-05 -0.0018231520893776873 -0.0018231520893776873);39.47841760435743
jupiter;POINTZ(4.931485067392814 0.4182792931522014 0.4182792931522014);0.03769367487038949
saturn;POINTZ(7.725724527962011 5.095131912694451 5.095131912694451);0.011286326131968767
uranus;POINTZ(13.47975571703901 -14.621756636961418 -14.621756636961418);0.0017237240570597112
neptune;POINTZ(15.91473784561501 -25.586485979192737 -25.586485979192737);0.0020336868699246304
sun;POINTZ(4.275679689177793e-05 -0.0018562106282961255 -0.0018562106282961255);39.47841760435743
jupiter;POINTZ(4.9286413905004895 0.44707100270409444 0.44707100270409444);0.03769367487038949
saturn;POINTZ(7.713395418816023 5.112109830946933 5.112109830946933);0.011286326131968767
uranus;POINTZ(13.490211942429019 -14.612650229934234 -14.612650229934234);0.0017237240570597112
neptune;POINTZ(15.924402202221811 -25.580330552376626 -25.580330552376626);0.0020336868699246304
sun;POINTZ(4.8206755506714886e-05 -0.0018892484663750094 -0.0018892484663750094);39.47841760435743
jupiter;POINTZ(4.925637336838879 0.4758481343001631 0.4758481343001631);0.03769367487038949
saturn;POINTZ(7.701027932723816 5.129062238538153 5.129062238538153);0.011286326131968767
uranus;POINTZ(13.500661390458815 -14.603536477799862 -14.603536477799862);0.0017237240570597112
neptune;POINTZ(15.934064258212288 -25.574171427329762 -25.574171427329762);0.0020336868699246304
sun;POINTZ(5.3821146470741425e-05 -0.0019222646791940625 -0.0019222646791940625);39.47841760435743
jupiter;POINTZ(4.922472975521625 0.5046097477241624 0.5046097477241624);0.03769367487038949
saturn;POINTZ(7.688622119544587 5.145989042963015 5.145989042963015);0.011286326131968767
uranus;POINTZ(13.511104056279201 -14.594415385592775 -14.594415385592775);0.0017237240570597112
neptune;POINTZ(15.94372401216072 -25.568008604899653 -25.568008604899653);0.0020336868699246304
sun;POINTZ(5.959988397773564e-05 -0.00195525834259527 -0.00195525834259527);39.47841760435743
jupiter;POINTZ(4.9191483817164885 0.5333549030096115 0.5333549030096115);0.03769367487038949
saturn;POINTZ(7.676178029373677 5.162890151800141 5.162890151800141);0.011286326131968767
uranus;POINTZ(13.521539935044506 -14.585286958350112 -14.585286958350112);0.0017237240570597112
neptune;POINTZ(15.953381462641667 -25.56184208593434 -25.56184208593434);0.0020336868699246304
sun;POINTZ(6.554287637308248e-05 -0.001988228532726055 -0.001988228532726055);39.47841760435743
jupiter;POINTZ(4.915663636645784 0.5620826604847887 0.5620826604847887);0.03769367487038949
saturn;POINTZ(7.663695712542476 5.17976547271262 5.17976547271262);0.011286326131968767
